일자,시가,고가,저가,종가,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2020-09-15,"60,900","61,000","60,500","61,000","17,877,075","1,086,698",0,"-2,370,678","-1,867,006","-368,875","1,761,884","-176,837",56.01
2020-09-14,"60,200","60,800","59,900","60,400","20,648,281","1,245,768",0.1,"-2,646,580","1,491,903","1,498,673","1,687,999","-1,155,085",56.01
2020-09-11,"59,300","59,400","58,200","59,000","16,017,098","942,686",0.1,"1,524,288","-1,081,621","-535,505","-510,631","-1,235,137",55.99
2020-09-10,"59,900","60,000","59,100","59,200","29,923,293","1,781,328",0.1,"-4,008,484","-1,455,578","5,669,115","5,322,594","-2,495,382",56
2020-09-09,"58,200","59,300","57,800","58,400","30,597,399","1,791,534",0.1,"-2,711,406","320,935","2,298,753","3,124,224","-2,283,089",55.9
2020-09-08,"57,400","58,700","57,200","58,700","31,517,520","1,832,706",0.1,"-7,315,520","2,888,255","4,487,201","4,150,265","432,810",55.86
2020-09-07,"56,100","57,300","55,800","56,500","18,685,880","1,056,350",0.09,"898,502","-897,885","-39,509","55,274","-689,447",55.79
2020-09-04,"55,200","55,800","55,100","55,600","22,139,109","1,228,387",0.1,"4,414,025","-2,508,980","-2,132,810","-2,442,523","-3,695,100",55.79
2020-09-03,"55,600","56,700","55,500","56,400","28,384,920","1,598,060",0.1,"-4,762,912","265,036","3,999,421","2,733,267","67,671",55.82
2020-09-02,"54,600","55,100","54,100","54,400","16,905,723","922,056",0.1,"1,086,555","59,529","-781,732","-776,476","-754,462",55.76
2020-09-01,"54,100","54,800","54,100","54,200","19,363,117","1,052,420",0.09,"2,375,095","-952,340","-1,437,952","-1,017,624","-1,518,532",55.77
2020-08-31,"56,000","56,100","54,000","54,000","32,671,367","1,786,246",0.09,"10,136,330","-509,866","-10,747,691","-10,417,810","-5,456,279",55.79
2020-08-28,"56,100","56,300","55,400","55,400","14,619,888","815,588",0.09,"2,334,678","428,036","-2,692,148","-2,882,443","-2,537,813",55.97
2020-08-27,"56,300","56,300","55,600","55,600","16,196,568","903,861",0.09,"2,873,281","-2,848,392","75,986","-926,949","-750,252",56.02
2020-08-26,"56,400","56,500","55,700","56,400","17,651,593","989,962",0.09,"2,008,624","-3,231,228","2,399,328","95,406","1,322,177",56.02
2020-08-25,"56,400","56,800","56,100","56,400","14,021,705","790,968",0.09,"772,245","-1,178,636","104,977","94,780","-273,748",55.98
2020-08-24,"55,800","56,600","55,400","56,100","15,055,896","843,922",0.09,"838,921","-1,193,461","357,083","-366,146","158,128",55.98
2020-08-21,"56,200","56,900","55,800","55,900","21,142,288","1,190,753",0.08,"469,780","-1,567,729","1,685,131","537,390","1,431,318",55.97
2020-08-20,"57,600","57,600","55,300","55,400","30,386,029","1,709,572",0.08,"5,614,154","-5,264,447","-455,133","-511,822","-743,373",55.94
2020-08-19,"59,000","59,200","57,800","57,800","16,930,719","988,996",0.08,"1,290,854","-798,341","-399,689","54,341","-1,199,135",55.95
2020-08-18,"58,900","59,900","58,000","58,400","25,307,825","1,490,617",0.09,"-4,780,113","3,604,406","3,039,319","1,655,817","1,844,748",55.96
2020-08-14,"58,000","58,400","57,700","58,000","15,672,548","909,053",0.09,"883,493","640,158","-1,313,987","-779,882","-987,968",55.9
2020-08-13,"59,400","59,600","58,000","58,700","22,089,460","1,300,660",0.09,"1,066,850","225,932","-1,236,085","-1,293,753","-460,966",55.93
2020-08-12,"58,200","59,000","57,700","59,000","18,573,934","1,083,108",0.09,"-298,043","-52,490","113,723","10,021","-48,633",55.95
2020-08-11,"58,000","59,500","57,800","58,200","24,907,912","1,462,107",0.09,"-2,031,509","918,477","556,625","-103,047","-737,525",55.95
2020-08-10,"57,600","58,300","57,500","57,800","17,774,291","1,029,080",0.09,"862,823","-628,631","-6,431","-66,433","-719,237",55.94
2020-08-07,"57,900","58,400","57,100","57,500","18,751,717","1,081,791",0.09,"1,962,387","-3,358,271","1,653,994","86,745","-2,132,406",55.94
2020-08-06,"57,100","58,400","57,100","58,000","21,625,874","1,250,814",0.09,"-756,683","147,756","723,145","739,132","-192,120",55.91
2020-08-05,"57,300","57,500","56,300","56,900","17,739,706","1,007,827",0.08,"4,423,428","-2,880,624","-1,198,905","-1,525,614","-1,500,531",55.9
2020-08-04,"57,200","58,100","57,000","57,300","19,419,694","1,115,746",0.07,"1,543,639","-622,191","-1,117,830","-437,395","-2,764,121",55.92
2020-08-03,"57,800","57,900","56,700","56,800","21,158,940","1,209,657",0.07,"4,696,704","-1,592,111","-3,374,437","-2,570,598","-2,602,624",55.94
2020-07-31,"59,500","59,600","57,700","57,900","21,943,345","1,282,932",0.08,"3,380,020","-2,185,878","-1,210,742","-678,651","-3,000,203",55.99
2020-07-30,"59,700","60,100","59,000","59,000","19,285,354","1,147,804",0.08,"-448,138","-1,028,015","1,813,114","1,635,997","-166,848",56.01
2020-07-29,"60,300","60,400","58,600","59,000","36,476,611","2,169,959",0.09,"-3,223,262","-1,453,164","4,871,113","3,269,884","-1,350,312",55.98
2020-07-28,"57,000","58,800","56,400","58,600","48,431,566","2,803,148",0.09,"-15,527,280","214,491","16,523,775","13,407,961","4,380,719",55.9
2020-07-27,"54,300","55,700","54,300","55,600","21,054,421","1,165,207",0.09,"-8,651,830","1,564,238","7,176,045","5,840,320","2,686,670",55.62
2020-07-24,"54,000","54,400","53,700","54,200","10,994,535","594,538",0.09,"-197,573","-1,060,195","2,493,617","1,025,775","-358,753",55.5
2020-07-23,"54,700","54,700","53,800","54,100","16,214,932","876,160",0.09,"3,933,955","-2,749,215","-1,164,052","-1,659,962","-286,420",55.46
2020-07-22,"55,300","55,500","54,700","54,700","12,885,057","708,749",0.09,"1,170,121","-911,194","-194,786","-130,011","-828,382",55.48
2020-07-21,"55,200","55,400","54,800","55,300","18,297,260","1,009,863",0.09,"-6,856,494","1,532,617","5,708,295","5,057,565","1,437,467",55.48
2020-07-20,"54,800","54,800","54,000","54,200","10,507,530","571,387",0.09,"-118,160","-1,177,682","1,070,738","251,718","-656,335",55.39
2020-07-17,"54,200","54,700","54,100","54,400","10,096,174","549,371",0.09,"-1,612,377","361,430","1,610,456","1,037,791","-145,872",55.37
2020-07-16,"54,800","54,800","53,800","53,800","16,779,127","909,095",0.11,"805,698","41,031","-983,347","-1,322,064","13,313",55.34
2020-07-15,"54,400","55,000","54,300","54,700","24,051,450","1,317,316",0.11,"-7,176,548","2,163,330","5,480,566","5,453,466","408,064",55.36
2020-07-14,"53,700","53,800","53,200","53,800","14,269,484","763,627",0.11,"-696,831","-1,611,705","2,212,167","1,164,077","283,884",55.27
2020-07-13,"53,300","53,800","53,100","53,400","12,240,188","654,722",0.11,"-2,200,600","1,102,235","1,381,242","1,152,340","1,374,210",55.23
2020-07-10,"53,100","53,200","52,300","52,700","13,714,746","722,450",0.11,"2,116,925","-3,596,592","2,344,159","1,286,149","1,090,592",55.21
2020-07-09,"53,200","53,600","52,800","52,800","17,054,850","906,943",0.11,"756,078","-2,283,249","1,509,282","1,864,545","-225,137",55.17
2020-07-08,"53,600","53,900","52,900","53,000","19,664,652","1,049,005",0.1,"1,604,084","-1,497,777","810,622","-524,360","-2,154,153",55.14
2020-07-07,"55,800","55,900","53,400","53,400","30,760,032","1,672,754",0.1,"4,880,893","-4,064,374","-544,573","-227,894","-1,720,862",55.13
2020-07-06,"54,000","55,000","53,800","55,000","19,856,623","1,084,004",0.1,"-5,764,960","4,362,954","1,634,620","1,135,872","847,223",55.14
2020-07-03,"53,000","53,600","52,700","53,600","11,887,868","633,333",0.1,"-2,609,515","991,665","1,537,492","1,615,775","1,135,592",55.11
2020-07-02,"52,100","52,900","52,100","52,900","14,142,583","742,668",0.1,"558,538","-470,182","576,995","-948,601","861,247",55.09
2020-07-01,"53,400","53,600","52,400","52,600","16,706,143","884,145",0.11,"1,251,231","427,136","4,616,555","-931,751","579,607",55.08
2020-06-30,"53,900","53,900","52,800","52,800","21,157,172","1,129,431",0.1,"-2,873,773","1,240,703","1,673,651","1,338,266","-1,724,034",55
2020-06-29,"52,500","53,200","52,000","52,400","17,776,925","934,880",0.11,"1,507,434","-884,248","-916,511","-709,807","-1,622,307",54.97
2020-06-26,"52,800","53,900","52,200","53,300","21,575,360","1,146,336",0.11,"-3,726,666","1,444,962","1,327,426","1,322,390","-597,528",54.99
2020-06-25,"52,100","53,000","51,900","51,900","18,541,624","970,495",0.11,"2,015,758","-3,830,158","-4,458,337","1,060,335","-2,476,213",54.96
2020-06-24,"51,900","53,900","51,600","52,900","24,519,552","1,301,306",0.11,"-4,436,055","1,274,576","-1,339,513","2,412,601","1,207,752",55.04
2020-06-23,"52,500","52,800","51,100","51,400","18,086,152","937,055",0.11,"2,145,641","-1,560,716","-517,586","-436,674","-621,539",55.06
2020-06-22,"52,000","52,600","51,800","52,000","13,801,350","720,718",0.11,"1,242,536","3,638","-1,147,335","-1,125,950","-1,587,978",55.07
2020-06-19,"52,600","52,900","51,600","52,900","18,157,985","950,404",0.11,"-1,467,067","-517,686","1,878,577","2,064,565","-961,798",55.09
2020-06-18,"52,200","52,300","51,600","52,300","15,982,926","830,793",0.11,"194,257","-409,485","349,113","1,054,929","720,604",55.06
2020-06-17,"52,100","52,900","51,300","52,200","26,672,595","1,390,772",0.11,"-1,708,595","-151,661","1,467,817","758,371","604,355",55.05
2020-06-16,"51,200","52,100","50,600","52,100","21,808,375","1,124,879",0.11,"-1,044,949","3,110,321","-948,110","-2,062,768","-1,187,140",55.03
2020-06-15,"51,400","52,000","49,900","49,900","28,772,921","1,468,000",0.11,"5,371,193","-3,866,544","-816,100","-2,407,797","-2,263,049",55.04
2020-06-12,"52,100","52,800","51,500","52,300","26,976,019","1,410,311",0.1,"2,589,253","-1,817,006","-305,656","-1,747,827","-1,051,883",55.06
2020-06-11,"54,500","55,100","53,200","54,300","33,815,123","1,832,274",0.1,"8,209,914","-6,695,404","-1,801,271","-1,880,521","-5,281,671",55.06
2020-06-10,"55,100","55,900","54,900","55,400","16,742,493","927,393",0.1,"-855,011","1,089,492","-889,734","-1,263,242","-296,495",55.09
2020-06-09,"55,800","56,500","54,400","55,500","23,998,831","1,326,558",0.08,"1,638,913","-2,723,503","423,013","-9,148","-332,436",55.11
2020-06-08,"56,400","56,500","54,700","54,900","25,634,965","1,418,831",0.08,"2,899,066","-1,145,041","-1,594,066","-1,418,501","-2,991,254",55.1
2020-06-05,"54,400","55,900","54,000","55,500","22,743,629","1,254,430",0.1,"-2,578,073","2,748,553","-4,210","-121,455","-904,097",55.13
2020-06-04,"55,800","57,000","54,600","54,600","40,220,334","2,236,420",0.1,"-3,183,029","1,608,999","-30,107","-236,601","1,393,152",55.13
2020-06-03,"51,800","55,000","51,700","54,500","49,257,814","2,655,435",0.1,"-12,488,024","9,562,698","3,558,911","1,888,048","2,813,480",55.13
2020-06-02,"51,000","51,500","50,800","51,400","14,247,933","730,124",0.1,"-607,793","901,384","-452,878","-104,525","-325,032",55.07
2020-06-01,"50,800","51,200","50,600","51,200","16,949,183","864,647",0.1,"-1,843,451","2,097,711","546,108","19,746","-248,131",55.08
2020-05-29,"50,000","50,700","49,700","50,700","27,596,961","1,390,446",0.1,"-1,881,279","-1,892,811","3,880,973","3,818,180","2,354,529",55.07
2020-05-28,"51,100","51,200","49,900","50,400","31,309,318","1,585,346",0.1,"-5,109,443","2,771,160","2,317,780","1,597,830","-54,913",55
2020-05-27,"48,950","50,000","48,800","49,900","19,548,479","969,952",0.11,"-3,427,868","124,198","2,999,597","2,048,314","173,870",54.96
2020-05-26,"48,700","49,450","48,600","49,250","15,127,490","742,844",0.11,"-798,650","1,661,696","-2,297,280","-1,109,597","-1,234,367",54.91
2020-05-25,"48,750","48,900","48,450","48,850","14,337,913","698,563",0.1,"2,061,219","223,787","-2,157,841","-1,177,826","-1,041,474",54.95
2020-05-22,"49,600","49,800","48,600","48,750","19,706,284","965,730",0.1,"6,762,725","-2,867,180","-3,647,938","-3,310,859","-2,567,718",54.99
2020-05-21,"50,300","50,400","49,850","49,950","14,949,266","748,343",0.1,"456,629","-2,354,362","2,041,778","1,268,885","744,074",55.05
2020-05-20,"50,000","50,200","49,800","50,000","14,896,899","744,470",0.11,"-114,028","-135,032","563,799","479,710","-1,664,939",55.01
2020-05-19,"50,100","50,500","49,700","50,300","25,168,295","1,261,318",0.11,"-7,083,909","5,221,214","2,306,439","1,746,813","-912,847",55
2020-05-18,"47,950","49,100","47,600","48,800","20,481,981","995,409",0.11,"-3,218,787","1,776,147","-625,057","784,437","-568,070",54.97
2020-05-15,"48,400","48,450","47,700","47,850","18,463,118","887,550",0.11,"239,424","1,837,854","-2,114,134","-1,547,385","-3,143,410",54.98
2020-05-14,"47,750","48,100","47,650","48,000","19,305,974","924,044",0.11,"2,639,169","-1,274,757","-1,374,908","-1,123,485","246,489",55.01
2020-05-13,"47,250","48,550","47,200","48,550","20,223,277","966,406",0.11,"840,621","-499,195","253,744","-1,474,272","2,679,696",55.03
2020-05-12,"48,400","48,500","47,550","47,900","23,433,590","1,122,420",0.11,"5,230,629","-3,274,163","530,085","-2,479,905","-1,177,938",55.03
2020-05-11,"48,900","49,250","48,300","48,400","16,357,743","797,524",0.11,"2,923,160","-1,688,512","-1,361,851","-543,400","-1,460,182",55.02
2020-05-08,"49,100","49,350","48,800","48,800","15,319,700","752,271",0.1,"977,701","1,042,243","-1,429,495","-2,747,420","-563,217",55.04
2020-05-07,"49,200","49,300","48,700","48,800","13,884,411","679,669",0.1,"1,301,017","101,232","-998,727","-1,911,680","-1,348,658",55.07
2020-05-06,"49,000","49,200","48,500","49,200","18,070,225","882,454",0.09,"682,694","999,598","-1,568,700","-2,973,484","-2,317,379",55.08
2020-05-04,"48,900","49,100","48,500","48,500","26,083,749","1,270,817",0.09,"10,451,687","-5,100,257","-8,082,678","-6,392,912","-7,037,541",55.11
2020-04-29,"49,900","50,500","49,600","50,000","15,604,533","780,706",0.09,"-504,706","389,165","1,097,242","150,041","343,987",55.25
2020-04-28,"49,850","50,100","49,300","50,100","16,095,399","800,261",0.09,"234,061","-918,536","-75,891","258,226","-474,783",55.23
2020-04-27,"49,350","50,000","49,100","49,850","14,049,471","697,231",0.09,"-1,901,638","2,250,026","2,163,791","-240,467","-505,129",55.23
2020-04-24,"49,650","49,750","49,000","49,350","15,618,347","771,212",0.1,"1,948,150","-2,717,826","-1,765,242","575,524","-2,514,562",55.19
2020-04-23,"50,200","50,300","49,500","49,850","18,754,442","936,174",0.09,"226,281","704,438","-150,098","-755,924","-2,204,228",55.22
2020-04-22,"48,700","50,000","48,350","49,850","18,613,864","912,223",0.09,"1,842,913","-2,563,503","1,541,282","351,733","-1,629,266",55.23
2020-04-21,"49,400","49,700","48,700","49,250","27,407,543","1,347,415",0.09,"5,347,373","-1,675,809","-1,784,618","-4,099,064","-4,969,958",55.2
2020-04-20,"51,400","51,400","50,000","50,100","21,866,354","1,106,552",0.1,"4,737,408","-3,573,780","1,926,720","-1,160,293","-3,603,570",55.23
2020-04-17,"50,800","52,000","50,300","51,400","32,041,675","1,641,068",0.09,"-7,628,101","2,323,777","6,268,683","2,921,941","2,387,186",55.2
2020-04-16,"49,350","49,350","48,550","49,000","23,349,760","1,143,760",0.1,"532,957","322,641","2,432,706","-1,245,333","-1,353,178",55.09
2020-04-14,"48,800","49,200","48,300","49,000","14,206,216","694,513",0.1,"-3,278,305","2,641,367","-976,141","306,519","353,938",55.05
2020-04-13,"48,650","48,900","48,300","48,300","14,431,800","700,511",0.1,"3,251,288","-2,927,673","-1,170,776","-175,214","-1,304,349",55.07
2020-04-10,"48,950","49,250","48,650","49,250","17,839,111","872,177",0.09,"1,781,657","-2,431,095","680,011","679,516","-1,418,322",55.09
2020-04-09,"49,750","49,800","48,700","49,100","22,628,058","1,111,936",0.09,"1,133,154","-1,336,475","38,449","-179,679","-2,343,035",55.08
2020-04-08,"49,600","49,750","48,600","48,600","25,010,314","1,230,375",0.1,"2,242,954","-2,911,519","2,416,062","1,951,333","-1,842,935",55.08
2020-04-07,"49,650","50,200","49,000","49,600","31,524,034","1,561,333",0.1,"-1,994,012","1,106,192","1,416,356","556,431","-1,020,990",55.03
2020-04-06,"47,500","48,800","47,250","48,700","23,395,726","1,123,254",0.11,"-6,939,367","5,980,825","250,515","-247,378","138,385",55.01
2020-04-03,"47,400","47,600","46,550","47,000","22,784,682","1,074,180",0.1,"589,711","-587,916","1,038,302","1,115,763","-1,468,100",55.01
2020-04-02,"46,200","46,850","45,350","46,800","21,621,076","997,831",0.1,"819,421","1,345,934","-169,320","-1,349,312","-1,116,491",54.99
2020-04-01,"47,450","47,900","45,800","45,800","27,259,532","1,282,483",0.1,"7,031,092","-4,655,042","4,123,651","-446,401","-5,717,082",54.99
2020-03-31,"48,000","48,500","47,150","47,750","30,654,261","1,467,323",0.1,"3,067,824","-3,001,427","1,474,394","-1,459,287","-1,548,299",54.92
2020-03-30,"47,050","48,350","46,550","47,850","26,797,395","1,268,119",0.1,"1,030,735","-18,826","-1,951,586","-303,457","-984,493",54.9
2020-03-27,"49,600","49,700","46,850","48,300","39,896,178","1,931,406",0.1,"1,518,756","966,564","-12,991,449","-2,513,393","-3,824,407",54.93
2020-03-26,"49,000","49,300","47,700","47,800","42,185,129","2,044,314",0.1,"3,083,701","-3,707,948","-2,574,048","544,186","-2,702,780",55.15
2020-03-25,"48,950","49,600","47,150","48,650","52,735,922","2,552,010",0.1,"4,980,190","-1,695,448","-6,584,958","-1,559,635","-3,379,421",55.19
2020-03-24,"43,850","46,950","43,050","46,950","49,801,908","2,254,620",0.1,"-6,174,614","3,254,324","3,722,240","2,365,946","1,429,364",55.3
2020-03-23,"42,600","43,550","42,400","42,500","41,701,626","1,789,672",0.1,"10,988,297","-3,248,991","-7,828,052","-7,291,145","-4,904,867",55.24
2020-03-20,"44,150","45,500","43,550","45,400","49,730,008","2,221,272",0.11,"3,248,749","1,669,124","-2,466,714","-6,476,969","-4,275,458",55.37
2020-03-19,"46,400","46,650","42,300","42,950","56,925,513","2,502,939",0.12,"4,105,594","1,612,440","-3,193,447","-5,622,770","-3,051,990",55.41
2020-03-18,"47,750","48,350","45,600","45,600","40,152,623","1,896,703",0.11,"6,418,923","-5,663,938","-545,826","-459,216","-3,842,225",55.47
2020-03-17,"46,900","49,650","46,700","47,300","51,218,151","2,453,542",0.11,"8,712,684","2,488,584","-11,026,963","-9,141,867","-7,590,844",55.47
2020-03-16,"50,100","50,900","48,800","48,900","33,339,821","1,657,129",0.1,"7,252,206","-3,277,723","1,166,409","-4,503,035","-8,173",55.66
